listing_id,manufacturer,price,location,Model:,Condition:,Location:,Listing ID:,Update:,Year of construction:,Mileage:
21508592,DAF,"€52,900                            
         Fixed price plus VAT        
        (€62,951 gross)",Dortmund,XG 480 4X2 Retarder 2xTanks Standklima ACC Euro6,used,"Dortmund, Germany",A215-08-592,14.03.2026,2022,"320,348 km"
21508307,Iveco,"€82,900                            
         Fixed price plus VAT        
        (€98,651 gross)",Dortmund,S-Way 500 4X2 NEW! HPEB 2xTanks Standklima LED ...,new,"Dortmund, Germany",A215-08-307,14.03.2026,2026,240 km
21507677,Iveco,"€81,900                            
         Fixed price plus VAT        
        (€97,461 gross)",Dortmund,S-Way 500 4X2 NEW! HPEB ACC Navi Mirrorcams Euro 6,new,"Dortmund, Germany",A215-07-677,14.03.2026,2026,494 km
21500902,DAF,"€28,900                            
         Fixed price plus VAT        
        (€34,969 gross)",Madrid,XF 530 4X2 SSC Retarder Hydraulik 2xTanks Stand...,used,"Madrid, Spain",A215-00-902,13.03.2026,2019,"518,157 km"
21499452,Scania,"€124,900                            
         Fixed price plus VAT        
        (€151,129 gross)",Madrid,S500 4X2 NEW! Retarder Full-Air 2xTanks LED ACC...,new,"Madrid, Spain",A214-99-452,13.03.2026,2026,8 km
21499432,Mercedes,"€107,900                            
         Fixed price plus VAT        
        (€130,559 gross)",Madrid,Actros 1848 4X2 NEW! ProCabin-Big 2x tanks Reta...,new,"Madrid, Spain",A214-99-432,13.03.2026,2025,69 km
21506277,MAN,"€28,900                            
         Fixed price plus VAT        
        (€34,391 gross)",Sittensen,"18.500 TGX 4x2, Intarder, Voll-Luft, Hydr.,Klima",used,,A215-06-277,14.03.2026,,"432,700 km"
21506252,MAN,"€28,900                            
         Fixed price plus VAT        
        (€34,391 gross)",Sittensen,"18.500 TGX 4x2, Intarder, Voll-Luft, Hydr.,Klima",used,,A215-06-252,14.03.2026,,"443,072 km"
21489487,Ford,"€34,400                            
         Fixed price plus VAT        
        (€41,624 gross)",Veghel,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,"Veghel, Netherlands",A214-89-487,12.03.2026,2023,"239,140 km"
21489462,Ford,"€34,400                            
         Fixed price plus VAT        
        (€41,624 gross)",Veghel,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,"Veghel, Netherlands",A214-89-462,12.03.2026,2023,"241,120 km"
21489427,Ford,"€37,400                            
         Fixed price plus VAT        
        (€45,254 gross)",Veghel,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,"Veghel, Netherlands",A214-89-427,12.03.2026,2023,"152,714 km"
21489312,DAF,"€12,900                            
         Fixed price plus VAT        
        (€15,609 gross)",Veghel,XF 460 XF 4X2 SC MX-enginebrake Euro6,used,"Veghel, Netherlands",A214-89-312,12.03.2026,2014,"590,450 km"
21489077,Volvo,"€79,900                            
         Fixed price plus VAT        
        (€96,679 gross)",Veghel,FH 460 4X2 XL Hydraulik Full-Air TC I-ParkCool ...,used,"Veghel, Netherlands",A214-89-077,12.03.2026,2023,"175,635 km"
21488932,MAN,"€16,900                            
         Fixed price plus VAT        
        (€20,449 gross)",Veghel,TGX 18.460 4X2 XLX Retarder ACC 2x Tank,used,"Veghel, Netherlands",A214-88-932,12.03.2026,2018,"534,132 km"
21156012,Scania,"€22,850                            
         Fixed price plus VAT        
        (€27,648 gross)",Veghel,R450 4X2 Retarder 2xTanks Standklima,used,"Veghel, Netherlands",A211-56-012,12.03.2026,2016,"882,560 km"
21488527,Scania,"€54,900                            
         Fixed price plus VAT        
        (€66,429 gross)",Veghel,R450 4X2 COMING SOON! Mega Retarder 2x Tanks,used,"Veghel, Netherlands",A214-88-527,12.03.2026,2021,"477,249 km"
21487287,Renault,"€18,900                            
         Fixed price plus VAT        
        (€22,869 gross)",Veghel,T 460 6X2 NL-Truck Liftachse,used,"Veghel, Netherlands",A214-87-287,12.03.2026,2015,"614,296 km"
21364662,Scania,"€195,331                            
         Fixed price plus VAT        
        (€244,164 gross)",Nordland,R660 Tractor unit with hydraulics,used,Nordland,A213-64-662,03.03.2026,2024,"95,000 km"
21149837,DAF,"€8,900                            
                                            €9,400                                    
         Fixed price plus VAT        
        (€10,769 gross)",Veghel,XF 480 XF 4X2 Defects - Truck is driveable,used,"Veghel, Netherlands",A211-49-837,12.03.2026,2018,"982,266 km"
21477757,Renault,"€23,750                            
         ONO plus VAT        
        (€28,738 gross)",Vuren,T440 / ADR / Stand Airco / PTO / Good Tires,excellent (used),"Vuren, Netherlands",A214-77-757,11.03.2026,2019,"589,491 km"
21475002,DAF,"€53,900                            
         ONO plus VAT        
        (€65,219 gross)",Vuren,XF 530 SKIRTS INTARDER,good (used),"Vuren, The Netherlands",A214-75-002,14.03.2026,2022,"369,742 km"
21474977,DAF,"€17,900                            
         ONO plus VAT        
        (€21,659 gross)",Vuren,XF 460 SPACECAB 6X2 FTG NL,good (used),"Vuren, The Netherlands",A214-74-977,14.03.2026,2015,"1,080,076 km"
21474792,SCANIA,"€18,900                            
         ONO plus VAT        
        (€22,869 gross)",Vuren,R520 HL V8 LEATHER RET.,good (used),"Vuren, The Netherlands",A214-74-792,14.03.2026,2015,"1,249,860 km"
21474787,DAF,"€26,900                            
         ONO plus VAT        
        (€32,549 gross)",Vuren,XF 530 PTO+HYDR. INTARDER,good (used),"Vuren, The Netherlands",A214-74-787,14.03.2026,2021,"512,262 km"
21474752,SCANIA,"€39,900                            
         ONO plus VAT        
        (€48,279 gross)",Vuren,R580 V8 6X4 150TON,good (used),"Vuren, The Netherlands",A214-74-752,14.03.2026,2015,"573,188 km"
21483667,Scania,"€45,900                            
         Fixed price plus VAT        
        (€55,539 gross)",Veghel,S450 4X2 Retarder 2xTanks Alcoa's Standklima,used,"Veghel, Netherlands",A214-83-667,12.03.2026,2019,"743,007 km"
21483652,Iveco,"€36,400                            
         Fixed price plus VAT        
        (€44,044 gross)",Veghel,S-Way 570 4X2 Retarder 2xTanks Standklima Navi,used,"Veghel, Netherlands",A214-83-652,11.03.2026,2020,"627,424 km"
21483217,Scania,"€22,900                            
         Fixed price plus VAT        
        (€27,709 gross)",Veghel,R450 R 4X2 NL-Truck Retarder 2xTanks Navi,used,"Veghel, Netherlands",A214-83-217,12.03.2026,2016,"803,609 km"
21483127,Mercedes,"€20,400                            
         Fixed price plus VAT        
        (€24,684 gross)",Veghel,Actros 1848 4X2 GigaSpace Retarder 2xTanks Stan...,used,"Veghel, Netherlands",A214-83-127,11.03.2026,2013,"732,545 km"
21483122,MAN,"€32,900                            
         Fixed price plus VAT        
        (€39,809 gross)",Veghel,TGX 18.470 4X2 Retarder ADR ACC,used,"Veghel, Netherlands",A214-83-122,11.03.2026,2020,"436,006 km"
21119212,Mercedes,"€19,800                            
                                            €20,400                                    
         Fixed price plus VAT        
        (€23,958 gross)",Veghel,Actros 1845 Actros 4X2 NL-Truck StreamSpace Ret...,used,"Veghel, Netherlands",A211-19-212,11.03.2026,2018,"820,949 km"
21187489,DAF,"€7,900                            
                                            €8,700                                    
         Fixed price plus VAT        
        (€9,559 gross)",Veghel,XF 460 XF 4X2 SC ACC LED Euro 6,used,"Veghel, Netherlands",A211-87-489,11.03.2026,2016,"787,418 km"
21478222,MAN,"€57,400                            
         Fixed price plus VAT        
        (€69,454 gross)",Veghel,TGX 18.510 TGX 4X2 Individual Lion S! GX APK 02...,used,"Veghel, Netherlands",A214-78-222,11.03.2026,2021,"483,299 km"
21490137,Scania,"€128,900                            
         Fixed price plus VAT        
        (€155,969 gross)",Madrid,S560 4X2 NEW! Retarder Full-Air 2xTanks Leder S...,new,"Madrid, Spain",A214-90-137,13.03.2026,2026,9 km
21477832,Volvo,"€24,900                            
         Fixed price plus VAT        
        (€30,129 gross)",Veghel,FH 420 4X2 XL I-ParkCool Leatherseats 2xTanks,used,"Veghel, Netherlands",A214-77-832,11.03.2026,2018,"1,011,245 km"
21490032,Scania,"€124,900                            
         Fixed price plus VAT        
        (€151,129 gross)",Madrid,S500 4X2 NEW! Retarder 2xTanks LED ACC Standkli...,new,"Madrid, Spain",A214-90-032,12.03.2026,2026,10 km
21489982,Iveco,"€38,900                            
         Fixed price plus VAT        
        (€47,069 gross)",Madrid,X-Way 510 4X2 Retarder Equipo Hidráulico Euro 6,used,"Madrid, Spain",A214-89-982,12.03.2026,2021,"399,123 km"
21494907,MAN,"€44,900                            
         Fixed price plus VAT        
        (€53,431 gross)",Sittensen,"18.500 TGX 4X4, HydroDrive, Luft, Hydr., Klima",used,,A214-94-907,13.03.2026,,"281,932 km"
21477302,Scania,"€28,400                            
         Fixed price plus VAT        
        (€34,364 gross)",Veghel,R410 4X2 Retarder 2xTanks ACC,used,"Veghel, Netherlands",A214-77-302,11.03.2026,2018,"866,569 km"
21477277,DAF,"€19,900                            
         Fixed price plus VAT        
        (€24,079 gross)",Veghel,XF 480 XF 4X2 SSC 2xTanks Standklima ACC,used,"Veghel, Netherlands",A214-77-277,12.03.2026,2019,"731,334 km"
